Hs (m),log10(Hs),a (true),a (pred),log10(a_true),log10(a_pred),a / Hs^6
3.828660e+00,5.830468e-01,2.713064e-04,2.704595e-04,-3.566540e+00,-3.567898e+00,8.586606e-08
1.529529e+00,1.845577e-01,1.102874e-06,1.131851e-06,-5.957474e+00,-5.946211e+00,8.839809e-08
5.418930e+00,7.339135e-01,2.181023e-03,2.150423e-03,-2.661340e+00,-2.667476e+00,8.492641e-08
1.932593e+00,2.861403e-01,4.487670e-06,4.571593e-06,-5.347979e+00,-5.339932e+00,8.774570e-08
5.087248e+00,7.064829e-01,1.493059e-03,1.475059e-03,-2.825923e+00,-2.831191e+00,8.509652e-08
5.646140e+00,7.517517e-01,2.790546e-03,2.747820e-03,-2.554311e+00,-2.561012e+00,8.481610e-08
2.531568e+00,4.033895e-01,2.267339e-05,2.290071e-05,-4.644484e+00,-4.640151e+00,8.699850e-08
5.729855e+00,7.581436e-01,3.048181e-03,3.000109e-03,-2.515959e+00,-2.522863e+00,8.477650e-08
5.988747e+00,7.773360e-01,3.973699e-03,3.905565e-03,-2.400805e+00,-2.408316e+00,8.465800e-08
4.059155e+00,6.084356e-01,3.852947e-04,3.833816e-04,-3.414207e+00,-3.416369e+00,8.570724e-08
2.460723e+00,3.910628e-01,1.912300e-05,1.933209e-05,-4.718444e+00,-4.713721e+00,8.707675e-08
1.021816e+00,9.372857e-03,9.804297e-08,1.019128e-07,-7.008584e+00,-6.991771e+00,8.953475e-08
4.270664e+00,6.304954e-01,5.225785e-04,5.191476e-04,-3.281848e+00,-3.284709e+00,8.556942e-08
4.633355e+00,6.658956e-01,8.522220e-04,8.444441e-04,-3.069447e+00,-3.073429e+00,8.534879e-08
1.627432e+00,2.115027e-01,1.600278e-06,1.639101e-06,-5.795805e+00,-5.785394e+00,8.822455e-08
3.093476e+00,4.904467e-01,7.548482e-05,7.575906e-05,-4.122140e+00,-4.120565e+00,8.644786e-08
5.790368e+00,7.627062e-01,3.246504e-03,3.194246e-03,-2.488584e+00,-2.495632e+00,8.474839e-08
1.317792e+00,1.198468e-01,4.510868e-07,4.651290e-07,-6.345740e+00,-6.332427e+00,8.881634e-08
5.865053e+00,7.682719e-01,3.505991e-03,3.448151e-03,-2.455189e+00,-2.462414e+00,8.471391e-08
3.611216e+00,5.576535e-01,1.910294e-04,1.907861e-04,-3.718900e+00,-3.719453e+00,8.602520e-08
1.925665e+00,2.845806e-01,4.392007e-06,4.474647e-06,-5.357337e+00,-5.349241e+00,8.775559e-08
4.657483e+00,6.681513e-01,8.791977e-04,8.710307e-04,-3.055913e+00,-3.059967e+00,8.533477e-08
4.801139e+00,6.813443e-01,1.054982e-03,1.044177e-03,-2.976755e+00,-2.981226e+00,8.525271e-08
4.962976e+00,6.957421e-01,1.287158e-03,1.272638e-03,-2.890368e+00,-2.895295e+00,8.516322e-08
2.053525e+00,3.124999e-01,6.459207e-06,6.567354e-06,-5.189821e+00,-5.182610e+00,8.757716e-08
5.545877e+00,7.439702e-01,2.506112e-03,2.469140e-03,-2.601000e+00,-2.607454e+00,8.486420e-08
3.742096e+00,5.731149e-01,2.365205e-04,2.359529e-04,-3.626131e+00,-3.627175e+00,8.592826e-08
1.552159e+00,1.909363e-01,1.204473e-06,1.235546e-06,-5.919203e+00,-5.908141e+00,8.835703e-08
4.410958e+00,6.445330e-01,6.344202e-04,6.296106e-04,-3.197623e+00,-3.200928e+00,8.548193e-08
2.665009e+00,4.256988e-01,3.085829e-05,3.111703e-05,-4.510628e+00,-4.507002e+00,8.685715e-08
2.662281e+00,4.252539e-01,3.066920e-05,3.092734e-05,-4.513298e+00,-4.509657e+00,8.685993e-08
2.348748e+00,3.708364e-01,1.446098e-05,1.464069e-05,-4.839802e+00,-4.834438e+00,8.720536e-08
2.242446e+00,3.507219e-01,1.095244e-05,1.110482e-05,-4.960489e+00,-4.954488e+00,8.733334e-08
3.158298e+00,4.994531e-01,8.548652e-05,8.574079e-05,-4.068102e+00,-4.066813e+00,8.639112e-08
1.821434e+00,2.604135e-01,3.145286e-06,3.210120e-06,-5.502340e+00,-5.493479e+00,8.791039e-08
4.573766e+00,6.602740e-01,7.885390e-04,7.816624e-04,-3.103177e+00,-3.106981e+00,8.538378e-08
