========================================================================================================================
TABELA DE DADOS - VALIDAÇÃO
========================================================================================================================

      Hs (m)    log10(Hs)           a (true)           a (pred)  log10(a_true)  log10(a_pred)           a / Hs^6
      1.0218       0.0094       9.804297e-08       1.019128e-07        -7.0086        -6.9918       8.953475e-08
      4.2707       0.6305       5.225785e-04       5.191476e-04        -3.2818        -3.2847       8.556942e-08
      4.6334       0.6659       8.522220e-04       8.444441e-04        -3.0694        -3.0734       8.534879e-08
      1.6274       0.2115       1.600278e-06       1.639101e-06        -5.7958        -5.7854       8.822455e-08
      3.0935       0.4904       7.548482e-05       7.575906e-05        -4.1221        -4.1206       8.644786e-08
      5.7904       0.7627       3.246504e-03       3.194246e-03        -2.4886        -2.4956       8.474839e-08
      1.3178       0.1198       4.510868e-07       4.651290e-07        -6.3457        -6.3324       8.881634e-08
      5.8651       0.7683       3.505991e-03       3.448151e-03        -2.4552        -2.4624       8.471391e-08
      3.6112       0.5577       1.910294e-04       1.907861e-04        -3.7189        -3.7195       8.602520e-08
      1.9257       0.2846       4.392007e-06       4.474647e-06        -5.3573        -5.3492       8.775559e-08
      4.6575       0.6682       8.791977e-04       8.710307e-04        -3.0559        -3.0600       8.533477e-08
      4.8011       0.6813       1.054982e-03       1.044177e-03        -2.9768        -2.9812       8.525271e-08
      4.9630       0.6957       1.287158e-03       1.272638e-03        -2.8904        -2.8953       8.516322e-08
      2.0535       0.3125       6.459207e-06       6.567354e-06        -5.1898        -5.1826       8.757716e-08
      5.5459       0.7440       2.506112e-03       2.469140e-03        -2.6010        -2.6075       8.486420e-08
      3.7421       0.5731       2.365205e-04       2.359529e-04        -3.6261        -3.6272       8.592826e-08
      1.5522       0.1909       1.204473e-06       1.235546e-06        -5.9192        -5.9081       8.835703e-08
      4.4110       0.6445       6.344202e-04       6.296106e-04        -3.1976        -3.2009       8.548193e-08
      2.6650       0.4257       3.085829e-05       3.111703e-05        -4.5106        -4.5070       8.685715e-08
      2.6623       0.4253       3.066920e-05       3.092734e-05        -4.5133        -4.5097       8.685993e-08
      2.3487       0.3708       1.446098e-05       1.464069e-05        -4.8398        -4.8344       8.720536e-08
      2.2424       0.3507       1.095244e-05       1.110482e-05        -4.9605        -4.9545       8.733334e-08
      3.1583       0.4995       8.548652e-05       8.574079e-05        -4.0681        -4.0668       8.639112e-08
      1.8214       0.2604       3.145286e-06       3.210120e-06        -5.5023        -5.4935       8.791039e-08
      4.5738       0.6603       7.885390e-04       7.816624e-04        -3.1032        -3.1070       8.538378e-08
      4.5607       0.6590       7.751039e-04       7.684141e-04        -3.1106        -3.1144       8.539153e-08
      5.3430       0.7278       2.003956e-03       1.976724e-03        -2.6981        -2.7041       8.496444e-08
      4.3607       0.6396       5.922474e-04       5.879705e-04        -3.2275        -3.2306       8.551289e-08
      5.0029       0.6992       1.350603e-03       1.335027e-03        -2.8695        -2.8745       8.514159e-08
      3.9183       0.5931       3.117113e-04       3.105106e-04        -3.5062        -3.5079       8.580314e-08
      4.1067       0.6135       4.131497e-04       4.109467e-04        -3.3839        -3.3862       8.567564e-08
      1.2121       0.0835       2.731711e-07       2.824218e-07        -6.5636        -6.5491       8.905182e-08
      1.8368       0.2641       3.307725e-06       3.375013e-06        -5.4805        -5.4717       8.788713e-08
      1.4722       0.1680       8.770140e-07       9.011464e-07        -6.0570        -6.0452       8.850508e-08
      2.7923       0.4460       4.082993e-05       4.111139e-05        -4.3890        -4.3860       8.672873e-08
      5.0959       0.7072       1.508438e-03       1.490172e-03        -2.8215        -2.8268       8.509191e-08
      1.5818       0.1992       1.349402e-06       1.383383e-06        -5.8699        -5.8591       8.830403e-08
      1.8112       0.2580       3.040396e-06       3.103623e-06        -5.5171        -5.5081       8.792614e-08
      5.9626       0.7754       3.870630e-03       3.804787e-03        -2.4122        -2.4197       8.466971e-08
      5.8109       0.7642       3.316065e-03       3.262319e-03        -2.4794        -2.4865       8.473890e-08
      5.8333       0.7659       3.393544e-03       3.338134e-03        -2.4693        -2.4765       8.472851e-08
      1.6968       0.2296       2.055573e-06       2.102661e-06        -5.6871        -5.6772       8.810802e-08
      5.8740       0.7689       3.538081e-03       3.479545e-03        -2.4512        -2.4585       8.470988e-08
      3.9847       0.6004       3.448024e-04       3.432914e-04        -3.4624        -3.4643       8.575748e-08
      4.4011       0.6436       6.259952e-04       6.212931e-04        -3.2034        -3.2067       8.548793e-08
      3.3732       0.5280       1.268810e-04       1.269934e-04        -3.8966        -3.8962       8.621124e-08
      2.1584       0.3341       8.708050e-06       8.839900e-06        -5.0601        -5.0536       8.743912e-08
      1.4302       0.1554       7.370355e-07       7.580124e-07        -6.1325        -6.1203       8.858643e-08
      2.5069       0.3991       2.137915e-05       2.160018e-05        -4.6700        -4.6655       8.702547e-08
      4.0395       0.6063       3.742500e-04       3.724486e-04        -3.4268        -3.4289       8.572034e-08
      1.7061       0.2320       2.124385e-06       2.172672e-06        -5.6728        -5.6630       8.809275e-08
      5.8356       0.7661       3.401787e-03       3.346200e-03        -2.4683        -2.4754       8.472741e-08
      3.6166       0.5583       1.927599e-04       1.925054e-04        -3.7150        -3.7156       8.602117e-08
      1.8856       0.2754       3.870904e-06       3.946368e-06        -5.4122        -5.4038       8.781418e-08
      4.1805       0.6212       4.597655e-04       4.570557e-04        -3.3375        -3.3400       8.562728e-08
      2.1877       0.3400       9.443344e-06       9.582223e-06        -5.0249        -5.0185       8.740168e-08
      4.8359       0.6845       1.101705e-03       1.090172e-03        -2.9579        -2.9625       8.523325e-08
      5.6740       0.7539       2.874120e-03       2.829671e-03        -2.5415        -2.5483       8.480283e-08
      5.4354       0.7352       2.221180e-03       2.189808e-03        -2.6534        -2.6596       8.491836e-08
